,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu (v příslušném písmu),Údaje o odpovědnosti a další informace,Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Překladatel/ka,Zdroj či odkaz,Volná poznámka,tecnická poznámka
300,301,část knihy,300.0,celé dílo ,překlad,,,L'ombrello di Piccadilly ,,Deštník z Piccadilly,ita ,cze,,,,,,,,,"Hlochová Ripellimo, Ela",,,
301,302,část knihy,300.0,celé dílo,překlad,,,Essere poeta,,Býti básníkem,ita ,cze,,,,,,,,,"Leskovjan, Marie § della Seta, Fiammetta",,,
302,303,kniha,,souborné dílo,překlad,,"Seifert, Jaroslav (jk01110657)",Tutte le bellezze del mondo ,,Všecky krásy světa,ita ,cze,,,Roma (Itálie) : Editori riuniti,,,324.0,1985.0,88-359-2907-5,"Massimi, Dario",http://id.sbn.it/bid/CFI0105068,,
303,304,část knihy,303.0,celé dílo,překlad,,,Tutto quello che ha coperto la neve,,Co všecko zavál sníh,ita ,cze,,,,,,,,,,,,
304,305,část knihy,303.0,celé dílo,překlad,,,"Eos, dea dell'aurora",,"Éós, bohyně ranních červánků ",ita ,cze,,,,,,,,,,,,
305,306,část knihy,303.0,celé dílo,překlad,,,Notte a Uhelný trh,,Noc na Uhleném trhu,ita ,cze,,,,,,,,,,,,
306,307,část knihy,303.0,celé dílo,překlad,,,Un cielo pieno di corvi ,,Obloha plná havranů ,ita ,cze,,,,,,,,,,,,
307,308,kniha,,celé dílo ,překlad,,"Škvorecký, Josef (jk01130413)",Leoncino,,Lvíče,ita ,cze,,,Milano (Itálie) : Garzanti,,,337.0,1971.0,,"Meriggi, Bruno",http://id.sbn.it/bid/PUV0228836,,
308,309,kniha,,souborné dílo,překlad,,"Škvorecký, Josef (jk01130413)",Il sax basso,,Originál neznámý,ita ,cze,,,Torino (Itálie) : G. Einaudi,,,213.0,1986.0,,"Corduas, Sergio",http://id.sbn.it/bid/CFI0068493,,
309,310,část knihy,309.0,celé dílo,překlad,,,Red Music,,Originál neznámý,ita ,cze,,,,,,,,,,,,
310,311,část knihy,309.0,celé dílo ,překlad,,,La leggenda Emöke,,Legenda Emöke,ita ,cze,,,,,,,,,,,,
311,312,část knihy,310.0,celé dílo ,překlad,,,Il sax basso,,Bassaxofon,ita ,cze,,,,,,,,,,,,
312,313,kniha,,celé dílo ,překlad,,"Škvorecký, Josef (jk01130413)",Il miracolo : Racconto giallo su sfondo politico,,Mirákl,ita ,cze,,,Roma (Itálie) : Fandango,,,598.0,2001.0,88-87517-15-0,"Dierna, Giuseppe",http://id.sbn.it/bid/TO00969008,,
313,314,kniha,,celé dílo,překlad,,"Škvorecký, Josef (jk01130413)","Il racconto dell'ingegnere delle anime umane : Entertainment su vecchi temi: la vita, le donne, il destino, i sogni, la classe operaia, le spie, l'amore e la morte",,"Příběh inženýra lidských duší : Entrtejnment na stará témata o životě, ženách, osudu, snění, dělnické třídě, fízlech, lásce a smrti.",ita ,cze,,,Roma (Itálie) : Fandango,,,965.0,2010.0,978-88-6044-120-1,"Dierna, Giuseppe",http://id.sbn.it/bid/LO11325472,,
314,315,kniha,,souborné dílo,překlad,,"Seifert, Jaroslav (jk01110657)",Vestita di luce : Poesie 1925-1967,,Originál neznámý,ita ,cze,,,Torino (Itálie) : G. Einaudi,,,213.0,1986.0,88-06-59527-X,"Corduas, Sergio",http://id.sbn.it/bid/CFI0068493,,
315,316,část knihy,315.0,celé dílo ,překlad,,,Pallatoliere,,Počítadlo,ita ,cze,,,,,,,,,,,,
316,317,část knihy,315.0,celé dílo ,překlad,,,La mia Italia,,Má Itálie ,ita ,cze,,,,,,,,,,,,
317,318,část knihy,315.0,celé dílo ,překlad,,,Versi,,Verše,ita ,cze,,,,,,,,,,,,
318,319,část knihy,315.0,celé dílo ,překlad,,,14 luglio,,14. Července,ita ,cze,,,,,,,,,,,,
319,320,část knihy,315.0,celé dílo ,překlad,,,Il vecchio campo di battaglia,,Staré bojiště,ita ,cze,,,,,,,,,,,,
320,321,část knihy,315.0,celé dílo ,překlad,,,Praga,,Praha,ita ,cze,,,,,,,,,,,,
321,322,část knihy,315.0,celé dílo ,překlad,,,Fra le righe,,Mezi řádky,ita ,cze,,,,,,,,,,,,
322,323,část knihy,315.0,celé dílo ,překlad,,,Quadro bagnato,,Mokrý obraz,ita ,cze,,,,,,,,,,,,
323,324,část knihy,315.0,celé dílo ,překlad,,,Senz'ali,,Bez křídel,ita ,cze,,,,,,,,,,,,
324,325,část knihy,315.0,celé dílo ,překlad,,,Le braccia di Venere,,Ruce Venušiny,ita ,cze,,,,,,,,,,,,
325,326,část knihy,315.0,celé dílo ,překlad,,,La primavera nella rete da pesca,,Jaro v rybářské síti,ita ,cze,,,,,,,,,,,,
326,327,část knihy,315.0,celé dílo ,překlad,,,Quel torbido mattino,,To kalné ráno,ita ,cze,,,,,,,,,,,,
327,328,část knihy,315.0,celé dílo ,překlad,,,Conversazione con la morte,,Rozhovor se smrtí ,ita ,cze,,,,,,,,,,,,
328,329,část knihy,315.0,celé dílo ,překlad,,,Canzone delle donne e degli uomini,,Píseň žen a mužů,ita ,cze,,,,,,,,,,,,
329,330,část knihy,315.0,celé dílo ,překlad,,,Vestita di luce,,Světlem oděná ,ita ,cze,,,,,,,,,,,,
330,331,část knihy,315.0,celé dílo ,překlad,,,Rondò di primavera VII,,Jarní rondò VI,ita ,cze,,,,,,,,,,,,
331,332,část knihy,315.0,celé dílo ,překlad,,,Rondò di primavera IX,,Jarní rondò IX,ita ,cze,,,,,,,,,,,,
332,333,část knihy,315.0,celé dílo ,překlad,,,Saluto alla città,,Pozdravy městu,ita ,cze,,,,,,,,,,,,
333,334,část knihy,315.0,celé dílo ,překlad,,,Coronadi sonetti,,Věnec sonetů,ita ,cze,,,,,,,,,,,,
334,335,část knihy,315.0,celé dílo ,překlad,,,Mozart a Praga,,Mozart a Praga,ita ,cze,,,,,,,,,,,,
335,336,část knihy,315.0,celé dílo ,překlad,,,Non so come incominciare,,Nevím jak začít,ita ,cze,,,,,,,,,,,,
336,337,část knihy,315.0,celé dílo ,překlad,,,Canzone sui rifiuti ,,Píseň o smetí,ita ,cze,,,,,,,,,,,,
337,338,část knihy,315.0,celé dílo ,překlad,,,E ora sorridere!,,A teď se usmívejte!,ita ,cze,,,,,,,,,,,,
338,339,část knihy,315.0,celé dílo ,překlad,,,Canzione sullo specchio,,Píseň o zrcadle,ita ,cze,,,,,,,,,,,,
339,340,část knihy,315.0,celé dílo ,překlad,,,Canzione sulle giovani fanciulle,,Píseň o malých dívkách,ita ,cze,,,,,,,,,,,,
340,341,část knihy,315.0,celé dílo ,překlad,,,Canzione sulla guerra,,Píseň o válce,ita ,cze,,,,,,,,,,,,
341,342,část knihy,315.0,celé dílo ,překlad,,,Se al cuore si potesse dire,,Kdyby se dalo srdci říct,ita ,cze,,,,,,,,,,,,
342,343,část knihy,315.0,celé dílo ,překlad,,,Il bisbiglío reticente...,,Zdráhavý šepot...,ita ,cze,,,,,,,,,,,,
343,344,část knihy,315.0,celé dílo ,překlad,,,Se le piogge lavano via...,,Omývají-li deště...,ita ,cze,,,,,,,,,,,,
344,345,část knihy,315.0,celé dílo ,překlad,,,Il teatro Tyl,,Tylovo divadlo,ita ,cze,,,,,,,,,,,,
345,346,část knihy,315.0,celé dílo ,překlad,,,Marche funèbre ,,Marche funèbre ,ita ,cze,,,,,,,,,,,,
346,347,část knihy,315.0,celé dílo ,překlad,,,Viaggio a Venezia,,Cesta do Benátek,ita ,cze,,,,,,,,,,,,
347,348,část knihy,315.0,celé dílo ,překlad,,,Sotto un lampadario di cristallo,,Pod křišťálovým lustrem,ita ,cze,,,,,,,,,,,,
348,349,část knihy,315.0,celé dílo ,překlad,,,Il peso del terreno,,Tíha hlíny,ita ,cze,,,,,,,,,,,,
349,350,část knihy,315.0,celé dílo ,překlad,,,Cupola astronomica,,Kopule hvězdárny,ita ,cze,,,,,,,,,,,,
350,351,část knihy,315.0,celé dílo ,překlad,,,Qualche tempo fa...,,Před nedávnem...,ita ,cze,,,,,,,,,,,,
351,352,část knihy,315.0,celé dílo ,překlad,,,Domandate che sanno fare ancora le donne? ,,"Ptáte se, co dovedou ještě ženy? ",ita ,cze,,,,,,,,,,,,
352,353,část knihy,315.0,celé dílo ,překlad,,,Se si sente sabbia,,Ozve-li se písek,ita ,cze,,,,,,,,,,,,
353,354,část knihy,315.0,celé dílo ,překlad,,,Ho veduto solo una volta,,Jen jednou jsem spatřil,ita ,cze,,,,,,,,,,,,
354,355,část knihy,315.0,celé dílo ,překlad,,,Se dite che i versi sono anche canto,,"Říkáte-li veršům, také zpěv",ita ,cze,,,,,,,,,,,,
355,356,část knihy,315.0,celé dílo ,překlad,,,Prima che asciughino quei due o tre baci,,Dříve než oschne těch pár polibků ,ita ,cze,,,,,,,,,,,,
356,357,kniha,,souborné dílo,překlad,,"Šiktanc, Karel (jk01122896)",Come si strappa il cuore,,Jak se trhá srdce,ita ,cze,,,Milano (Itálie) : Mimesis,,,159.0,2006.0,88-8483-477-5,"Parente, Antonio",http://id.sbn.it/bid/CFI0699631,,
357,358,část knihy,357.0,celé dílo,překlad,,,Incantesimi sui vivi. Tredici incantesimi sui vivi (1966),,Originál neznámý,ita ,cze,,,,,,,,,,,,
358,359,část knihy,357.0,celé dílo,překlad,,,Adamo e Eva (1968),,Originál neznámý,ita ,cze,,,,,,,,,,,,
359,360,část knihy,357.0,celé dílo,překlad,,,Come si strappa il cuore (1969-1970),,Originál neznámý,ita ,cze,,,,,,,,,,,,
360,361,kniha,,celé dílo ,překlad,,"Řezníček, Pavel (jk01110127)",Il sofio,,Strop,ita ,cze,,,Roma (Itálie) : E/O,,,174.0,1984.0,88-7641-013-9,"Dierna, Giuseppe",http://id.sbn.it/bid/CFI0065140,,
361,362,kniha,,celé dílo,překlad,,"Šebek, Karel (	jk01122590)","Guarda nel buio, come variopinto","Prefazione di Pavel Řezníček, con una testimonianza di Eva Válková, postfazione di Jan Nejedlý","Dívej se do tmy, je tak barevná",ita ,cze,,,Rovigo (Itálie) : Il ponte del sale,,,183.0,2007.0,88-89615-11-7,"Parente, Antonio",http://id.sbn.it/bid/LO11175629,,
362,363,kniha,,celé dílo,překlad,,"Jirotka, Zdeněk (jk01051900)",Saturnin,,Saturnin,ita ,cze,,,Praha (Česká republika) : Karolinum,,,287.0,2006.0,8024611872,"Kostner, Letizia",http://id.sbn.it/bid/PUV1133955,,
363,364,kniha,,celé dílo,překlad,,"Poláček, Karel (jk01100136)",Eravamo in cinque,Note e postfazione di Filadelfo Giuliano,Bylo nás pět,ita ,cze,,,Palermo (Itálie) : Neopoiesis,,,188.0,1996.0,88-86355-16-5,"Giuliano, Filadelfo",http://id.sbn.it/bid/PAL0141138,,
364,365,kniha,,celé dílo,překlad,,"Pilátová, Markéta (js20051031017)",In qualcosa dovremo pur somigliarci,,Žluté oči vedou domů ,ita ,cze,,,Roma (Itálie) : Atmosphere libri,,,157.0,2017.0,978-88-6564-252-8,"Angeloni, Laura",http://id.sbn.it/bid/PUV1497702,,
365,366,kniha,,celé dílo ,překlad,,"Schulz, Karel (jk01111165)",La pietra e il dolore : Michelangelo nei giardini dei Medici,,Kámen a bolest,ita ,cze,,,Roma (Itálie) : Castelvecchi,,,572.0,2017.0,978-88-6944-897-3,"Baiocchi, Paolo",http://id.sbn.it/bid/LO11673413,,
366,367,kniha,,celé dílo,překlad,,"Soukupová, Petra (xx0067507)",Sparire,,Zmizet,ita ,cze,,,Roma (Itálie) : Atmosphere libri,,,312.0,2013.0,978-88-6564-073-9,"Balletti, Raffaella",http://id.sbn.it/bid/MOD1624526,,
367,368,kniha,,celé dílo ,překlad,,"Urban, Miloš (jn99240001220)",Sette chiese,,Sedmikostelí,ita ,cze,,,Roma (Itálie) : Fanucci ,,,311.0,2009.0,978-88-347-1513-0,"Kostner, Letizia",http://id.sbn.it/bid/LO11258302,,
368,369,kniha,,celé dílo ,překlad,,"Weiss, Jan (jk01151540)",Il palazzo a mille piani,,Dům o tisíci patrech,ita ,cze,,,Treviso (Itálie) : Santi Quaranta,,,212.0,2005.0,88-86496-67-2,"Baratella, Chiara",http://id.sbn.it/bid/RMB0557429,,
369,370,kniha,,celé dílo ,překlad,,"Zykmund, Václáv (jk01152926)",L’anniversario dell’esame di maturità,,Sjezd abiturentů,ita ,cze,,,Roma (Itálie) : Voland,,,170.0,2001.0,88-86586-73-6,"Kostner, Letizia",http://id.sbn.it/bid/UBO1400422,,
370,371,kniha,,celé dílo,překlad,,"Němec, Jan (jk01083061)",Volevo uccidere J.-L. Godard,,Nepodávej ruku číšníkovi,ita ,cze,,,Torino (Itálie) : Miraggi,,,283.0,2018.0,978-88-99815-59-2,"De Vito, Alessandro",http://id.sbn.it/bid/PUV1490632,,
371,372,kniha,,celé dílo ,překlad,,"Lustig, Arnošt (jk01072683)",Nei suoi occhi verdi,,Krásné zelené oči,ita ,cze,,,Rovereto (Itálie) : Keller,,,486.0,2014.0,978-88-89767-55-9,"Kostner, Letizia",http://id.sbn.it/bid/LO11524900,,
372,373,kniha,,celé dílo ,překlad,,"Kratochvíl, Jiří (jn19990209413)",Nel cuore delle notti un canto,,Uprostřed nocí zpěv,ita ,cze,,,Milano (Itálie) : Anfora,,,190.0,2005.0,88-89076-09-7,"Mura, Alessandro",http://id.sbn.it/bid/MOD1017322,,
373,374,kniha,,celé dílo ,překlad,,"Hájíček, Jiří (jn20000401144)",Barocco rustico,,Selský baroko,ita ,cze,,,Udine (Itálie) : Centro Full Service,,,157.0,2009.0,,"Perissutti, Anna Maria",http://id.sbn.it/bid/PUV1343272,,
374,375,kniha,,celé dílo ,překlad,,"Fučík, Julius (jn19981001289)",Scritto sotto la forca,,Reportáž psaná na oprátce,ita ,cze,,,Milano (Itálie) : Universale economica,,,108.0,1949.0,,"Calamandrei, Franco",http://id.sbn.it/bid/IEI0009197,,
375,376,kniha,,celé dílo,překlad,,"Filip, Ota (jk01031164)",Il caffé sulla strada del cimitero,,Cesta ke hřbitovu,ita ,cze,,,Milano (Itálie) : Garzanti ,,,394.0,1969.0,,"Pandolfi, Amina",http://id.sbn.it/bid/RAV0255094,,
376,377,kniha,,celé dílo ,překlad,,"Fahrner, Filip (jo20010094189)",Dalla parte del bene,,Steiner aneb co jsme dělali ,ita ,cze,,,Rovereto (Itálie) : Keller,,,226.0,2018.0,978-88-99911-33-1,"Angeloni, Laura",http://id.sbn.it/bid/PUV1504857,,
377,378,kniha,,celé dílo ,překlad,,"Ajvaz, Michal (jn19990000066) ",L'altra Praga,,Druhé město,ita ,cze,,,Roma (Itálie) : Atmosphere libri,,,160.0,2015.0,978-88-6564-152-1,"Belletti, Raffaella",http://id.sbn.it/bid/TO01945093,,
378,379,kniha,,celé dílo,překlad,,"Balabán, Jan (jn19990202001)",Chiedi a papà,,Zeptej se táty,ita ,cze,,,Torino (Itálie) : Miraggi,,,188.0,2018.0,978-88-338-6000-8,"De Vito, Alessandro",http://id.sbn.it/bid/PUV1504871,,
379,380,kniha,,celé dílo ,překlad,,"Bianca, Bellová (xx0087781)",Il lago,,Jezero,ita ,cze,,,Torino (Itálie) : Miraggi,,,185.0,2018.0,978-88-99815-77-6,"Angeloni, Laura",http://id.sbn.it/bid/BCT0049298,,
380,381,kniha,,celé dílo ,překlad,,"Brabcová, Zuzana (jn19990209070)",L’anno delle perle,Con una nota di Annalisa Cosentino,Rok perel,ita ,cze,,,Udine (Itálie) : Forum,,,211.0,2006.0,88-8420-325-2,"Oviszach, Ivana",http://id.sbn.it/bid/LO11071668,,
381,382,kniha,,celé dílo,překlad,,"Boučková, Tereza (jn19990209069)",La corsa indiana,,Indiánský běh,ita ,cze,,,Torino (Itálie) : Miraggi,,,186.0,2018.0,978-88-338-6003-9,"Angeloni, Laura",http://id.sbn.it/bid/PUV1504866,,
382,383,kniha,,celé dílo,překlad,,"Černá, Jana (jk01021384)",Vita di Milena,,Adresát Milena Jesenská,ita ,ger,,,Milano (Itálie) : Garzanti ,,,151.0,1986.0,,"Martini Lichtner, Anna",http://id.sbn.it/bid/CFI0025642,,
383,384,kniha,,celé dílo,překlad,,"Denemarková, Radka (xx0002871)",I soldi di Hitler,,Peníze od Hitlera,ita ,cze,,,Rovereto (Itálie) : Keller,,,320.0,2012.0,978-88-89767-29-0,"Zavettieri, Angela",http://id.sbn.it/bid/RAV1968805,,
384,385,kniha,,celé dílo,překlad,,"Fried, Jiří (jk01031928)",I minuti contati,,Časová tíseň,ita ,cze,,,Milano (Itálie) : Bompiani,,,202.0,1964.0,,"Meriggi, Bruno",http://id.sbn.it/bid/MOD0264419,,
385,386,kniha,,celé dílo,překlad,,"Fried, Jiří (jk01031928)",Hobby,,Hobby,ita ,cze,,,Torino (Itálie) : G. Einaudi,,,97.0,1975.0,,"Ripellino Hlochová, Ela",http://id.sbn.it/bid/RAV0058508,,
386,387,kniha,,celé dílo ,překlad,,"Fuks, Ladislav (jk01032159)",Il bruciacadaveri, Introduzione di Angelo Maria Ripellino,Spalovač mrtvol,ita ,cze,,,Torino (Itálie) : G. Einaudi,,,193.0,1972.0,,"Ripellino Hlochová, Ela",http://id.sbn.it/bid/RLZ0161211,,
387,388,kniha,,celé dílo,překlad,,"Fuks, Ladislav (jk01032159)",Una buffa triste vecchina,,Myši Natálie Mooshabrové,ita ,cze,,,Milano (Itálie) : Garzanti ,,,379.0,1972.0,,"Vitale, Serena",http://id.sbn.it/bid/SBL0456502,,
388,389,kniha,,celé dílo,překlad,,"Fuks, Ladislav (jk01032159)",Il signor Theodor Mundstock,,Pan Theodor Mundstock ,ita ,cze,,,Torino (Itálie) : G. Einaudi,,,219.0,1997.0,,"Brignole, Francesco",http://id.sbn.it/bid/LO10446484,,
389,390,kniha,,celé dílo,překlad,,"Hodrová, Daniela (jk01041474)",Visioni di Praga,Fotografie di Jan Reich,Město vidím,ita ,cze,,,Udine (Itálie) : Forum,,,102.0,2005.0,,"Fiorica, Livio",http://id.sbn.it/bid/LO11042311,,
390,391,kniha,,celé dílo,překlad,,"Hodrová, Daniela (jk01041474)",Sotto le due specie,,Podobojí ,ita ,cze,,,Udine (Itálie) : Forum,,,161.0,2005.0,,"Perissutti, Anna Maria",http://id.sbn.it/bid/TSA0803253,,
391,392,kniha,,celé dílo,překlad,,"Hůlová, Petra (jo2002111362)",Attraverso un vetro opaco,,Přes matný sklo,ita ,cze,,,Milano (Itálie) : La tartaruga,,,132.0,2009.0,,"Angeloni, Laura",http://id.sbn.it/bid/UBO3710993,,
392,393,kniha,,celé dílo,překlad,,"Hůlová, Petra (jo2002111362)",Trilocale di plastica,,Umĕlohmotný třípokoj,ita ,cze,,,Milano (Itálie) : Baldini & Castoldi,,,178.0,2013.0,,"Angeloni, Laura",http://id.sbn.it/bid/VIA0260183,,
393,394,kniha,,celé dílo,překlad,,"Hůlová, Petra (jo2002111362)",Tutto questo mi appartiene,,Paměť mojí babičce,ita ,cze,,,Milano (Itálie) : La tartaruga,,,255.0,2012.0,,"Angeloni, Laura",http://id.sbn.it/bid/UBO3932914,,
394,395,kniha,,celé dílo,překlad,,"Jedlička, Josef",Nel mezzo del cammin di nostra vita,"Postfazione di Michael Špirit, con una nota di Alena Wildová Tosi",Kde život náš je v půli se svou poutí,ita ,cze,,,Udine (Itálie) : Forum,,,115.0,2006.0,88-8420-339-2,"Fiorica, Livio",http://id.sbn.it/bid/LO11093270,,
395,396,kniha,,celé dílo,překlad,,"Olbracht, Ivan (jk01091013)",La prigione più tetra,,Žalář nejtemnější,ita ,cze,,,Torino (Itálie) : Slavia,,,283.0,1930.0,,"Giusti, Wolfgango",http://id.sbn.it/bid/BA10014644,,
396,397,kniha,,celé dílo,překlad,,"Olbracht, Ivan (jk01091013)","Nicola Sciuhaj, il masnadiero",,"
Nikola Suhaj loupežnik",ita ,cze,,,Milano (Itálie) : Mondadori,,,228.0,1936.0,,"Prampolini, Giacomo",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990010204880206046,,
397,398,kniha,,celé dílo,překlad,,"Olbracht, Ivan (jk01091013)",Anna,,Anna proletářka,ita ,cze,,,Roma (Itálie) : Edizioni di cultura sociale,,,345.0,1953.0,,"Meriggi, Bruno",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990012889340206046,,
398,399,kniha,,celé dílo,překlad,,"Otčenášek, Jan (jk01091352)","Romeo, Giulietta e le tenebre",Presentazione di Angelo Maria Ripellino,"Romeo, Julie a tma",ita ,cze,,,Milano (Itálie) : Nuova Accademia,,,171.0,1960.0,,"Ripellino, Angelo Maria",http://id.sbn.it/bid/TO00365493,,
399,400,kniha,,celé dílo,překlad,,"Richterová, Sylvie (jn19990209718)",Topografia,"presentazione di Milan Kundera, illustrazioni di Jiří Kolář","
Místopis",ita ,cze,,,Roma (Itálie) : E/o,,,129.0,1986.0,88-7641-036-8,"Graziadei, Catarina § Richterová, Sylvie",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990000615020206046,,
400,401,kniha,,celé dílo,překlad,,"Richterová, Sylvie (jn19990209718)",Che ogni cosa trovi il suo posto,,Každá věc ať dospěje na své místo,ita ,cze,,,Milano (Itálie) : Mimesis,,,449.0,2018.0,978-88-575-4693-3,"Mura, Alessandro",http://id.sbn.it/bid/RMB0801458,,
401,402,kniha,,celé dílo,překlad,,"Legátová, Květa (jk01100201)",Želary,,Želary,ita ,cze,,,"
Roma (Itálie) : Nottetempo",,,495.0,2009.0,9788874521838,"Belletti, Raffaella",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990017518920206046,,
402,403,kniha,,celé dílo,překlad,,"Moníková, Libuše (jn19990209559)",La facciata,,Fasáda,ita ,cze,ger,Die Fassade,Milano (Itálie) : Mondadori,,,424.0,1989.0,88-04-31956-9,"
Agabio, Giovanna",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990001031410206046,,
403,404,kniha,,celé dílo,překlad,,"Mucha, Jiří (jk01082373)",Alfons Mucha : l'artista e il suo tempo,,Alfons Mucha,ita ,cze,,,Fasano (Itálie) : Schena,,,310.0,2017.0,9788868061609,"Menotti, Tiziana",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990029347570206046,,
404,405,kniha,,celé dílo,překlad,,"Němec, Jan ",Storia della luce : romanzo sul fotografo František Drtikol ,,Dějiny světla,ita ,cze,,,"
Pordenone (Itálie) : Safarà",,,430.0,2017.0,9788897561422,"Zuccolo, Elena",http://id.sbn.it/bid/VEA1226044,,
405,406,kniha,,celé dílo,překlad,,"Ouředník, Patrik (jn99240000828)",Europeana : breve storia del 20. secolo,,Europeana : Stručné dějiny dvacátého věku,ita ,cze,,,Palermo (Itálie) : Duepunti,,,150.0,2005.0,88-901403-5-6,"Paul, Elena",http://id.sbn.it/bid/PUV1081952,,
406,407,kniha,,celé dílo,překlad,,"Ouředník, Patrik (jn99240000828)","Istante propizio, 1855",,"Příhodná chvílie, 1855",ita ,cze,,,Palermo (Itálie) : Duepunti,,,134.0,2007.0,9788889987049,"Paul, Elena",http://id.sbn.it/bid/PAL0210499,,
407,408,kniha,,celé dílo,překlad,,"Ouředník, Patrik (jn99240000828)",Oggi e dopodomani : discorsi di cinque sopravvissuti,,Dnes a pozítří,ita ,cze,,,Palermo (Itálie) : Duepunti,,,103.0,2011.0,9788889987636,"
Carbone, Andrea L.",http://id.sbn.it/bid/PAL0238472,,
408,409,kniha,,celé dílo,překlad,,"Ouředník, Patrik (jn99240000828)",Caso irrisolto,,Ad acta,ita ,cze,,,Rovereto (Itálie) : Keller,,,213.0,2016.0,978-88-99911-01-0,"Catalano, Alessandro",http://id.sbn.it/bid/MOD1664179,,
409,410,kniha,,celé dílo,překlad,,"Ouředník, Patrik (jn99240000828)",La fine del mondo sembra non sia arrivata,,Konec světa se prý nekonal,ita ,cze,,,Macerata (Itálie) : Quodlibet,,,206.0,2018.0,9788822902122,"Carbone, Andrea L.",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990031876410206046,,
410,411,kniha,,celé dílo,překlad,,"Rudiš, Jaroslav (xx0004127)",Il cielo sotto Berlino,Postfazione di Bohumil Svozil,Nebe nad Berlínem,ita ,cze,,,Roma (Itálie) : E/o,,,121.0,1994.0,88-7641-222-0,"Zane, Barbara",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990002258170206046,,
411,412,kniha,,celé dílo,překlad,,"Rudiš, Jaroslav (xx0004127)","Helsinki, dove il punk si è fermato",,Konec punku v Helsinkách,ita ,cze,,,Granze (Itálie) : Poldi libri,,,303.0,2018.0,978-88-94034-62-2,"Marasco, Tiziano",http://id.sbn.it/bid/PUV1491271,,
412,413,kniha,,celé dílo,překlad,,"Rudiš, Jaroslav (xx0004127)",Grand Hotel : romanzo sopra le nuvole,,Grandhotel : román nad mraky,ita ,cze,,,Torino (Itálie) : Miraggi,,,217.0,2019.0,9788833860794,"Raymann, Yvonne",http://id.sbn.it/bid/PUV1525946,,
413,414,kniha,,celé dílo,překlad,,"Teige, Karel (jk01132144)",Il mercato dell’arte : l’arte tra capitalismo e rivoluzione,,Jarmarka umění,ita ,cze,,,Torino (Itálie) : Einaudi,,,161.0,1973.0,,"Pacini, Gianlorenzo",http://id.sbn.it/bid/LIA0152561,,
414,415,kniha,,souborné dílo,překlad,,"Teige, Karel (jk01132144)","Surrealismo, realismo socialista, irrealismo (1934-1951",,Originál neexistuje,ita ,cze,,,Torino (Itálie) : Einaudi,,,328.0,1982.0,,"Corduas, Sergio § D'Amelia, Antonella § Zane, Barbara",http://id.sbn.it/bid/IEI0015764,,
415,416,část knihy,415.0,celé dílo,překlad,,,Il realismo socialista e il surrealismo (1934),,Socialistický realismus  a surrealismus,ita ,cze,,,,,,,,,,,,
416,417,část knihy,415.0,celé dílo,překlad,,,Lo sviluppo dell'architettura sovietica (1936),,Vývoj sovětské architektury,ita ,cze,,,,,,,,,,,,
417,418,část knihy,415.0,celé dílo,překlad,,,Il romantico rivoluzionario Karel Hynek Mácha (1936),,Revoluční romantik Karel Hynek Mácha,ita ,cze,,,,,,,,,,,,
418,419,část knihy,415.0,celé dílo,překlad,,,Poesia a teatro : Alcune note sull'opera del regista Jindřich Honzl (1937),,Poezie na divadle,ita ,cze,,,,,,,,,,,,
419,420,část knihy,415.0,celé dílo,překlad,,,Dall'artificialismo al surrealismo (1937),,Od artificielismu k surrealismu ,ita ,cze,,,,,,,,,,,,
420,421,část knihy,415.0,celé dílo,překlad,,,Surrealismo contro corrente (1938),,Surrealismus proti proudu,ita ,cze,,,,,,,,,,,,
421,422,část knihy,415.0,celé dílo,překlad,,,Jan Zrzavý : un precursore (1941),,Jan Zrzavý - předchůdce,ita ,cze,,,,,,,,,,,,
422,423,část knihy,415.0,celé dílo,překlad,,,Bohumil Kubiška (1948-49),,Bohumil Kubišta,ita ,cze,,,,,,,,,,,,
423,424,část knihy,415.0,celé dílo,překlad,,,Sull'architettura e la natura (1947),,O architektuře a přírodě,ita ,cze,,,,,,,,,,,,
424,425,část knihy,415.0,celé dílo,překlad,,,Surrealismo internazionale (1947),,Mezinárodní surrealismus,ita ,cze,,,,,,,,,,,,
425,426,část knihy,415.0,celé dílo,překlad,,,Entartete Kunst (1945-46),,Entartete Kunst,ita ,cze,,,,,,,,,,,,
